n,k,t,avg_time
50,2,1,0.00054
50,2,2,0.000716
50,2,3,0.001732
50,2,4,0.007808
50,2,5,0.058756
50,2,6,0.397904
50,6,1,0.001626
50,6,2,0.002226
50,6,3,0.005834
50,6,4,0.023248
50,6,5,0.179182
50,6,6,1.42118
50,10,1,0.003494
50,10,2,0.004896
50,10,3,0.010094
50,10,4,0.042684
50,10,5,0.27722
50,10,6,2.80347
50,20,1,0.005562
50,20,2,0.007458
50,20,3,0.020954
50,20,4,0.078326
50,20,5,0.540256
50,20,6,4.95261
75,2,1,0.000988
75,2,2,0.001214
75,2,3,0.002246
75,2,4,0.007822
75,2,5,0.045742
75,2,6,0.226682
75,6,1,0.00297
75,6,2,0.003596
75,6,3,0.00656
75,6,4,0.024306
75,6,5,0.131662
75,6,6,1.00709
75,10,1,0.005094
75,10,2,0.006118
75,10,3,0.010822
75,10,4,0.039998
75,10,5,0.216718
75,10,6,1.58131
75,20,1,0.01056
75,20,2,0.012486
75,20,3,0.022398
75,20,4,0.078802
75,20,5,0.443666
75,20,6,2.62494
100,2,1,0.001604
100,2,2,0.001784
100,2,3,0.002838
100,2,4,0.008232
100,2,5,0.03839
100,2,6,0.333218
100,6,1,0.004608
100,6,2,0.005242
100,6,3,0.008442
100,6,4,0.025432
100,6,5,0.12002
100,6,6,0.859162
100,10,1,0.007558
100,10,2,0.00903
100,10,3,0.016106
100,10,4,0.042272
100,10,5,0.20274
100,10,6,1.4028
100,20,1,0.015216
100,20,2,0.01829
100,20,3,0.028748
100,20,4,0.081976
100,20,5,0.405312
100,20,6,2.78013
125,2,1,0.002594
125,2,2,0.002842
125,2,3,0.003588
125,2,4,0.008668
125,2,5,0.037198
125,2,6,0.255518
125,6,1,0.007984
125,6,2,0.008784
125,6,3,0.010908
125,6,4,0.02744
125,6,5,0.116498
125,6,6,0.786032
125,10,1,0.0144
125,10,2,0.014466
125,10,3,0.020026
125,10,4,0.050578
125,10,5,0.20521
125,10,6,1.34278
125,20,1,0.026218
125,20,2,0.030648
125,20,3,0.039056
125,20,4,0.102854
125,20,5,0.411878
125,20,6,2.53198
150,2,1,0.00373
150,2,2,0.004118
150,2,3,0.005434
150,2,4,0.011104
150,2,5,0.03935
150,2,6,0.21948
150,6,1,0.011184
150,6,2,0.011836
150,6,3,0.014926
150,6,4,0.032904
150,6,5,0.135076
150,6,6,0.665278
150,10,1,0.018702
150,10,2,0.019148
150,10,3,0.0278
150,10,4,0.058964
150,10,5,0.22928
150,10,6,1.30786
150,20,1,0.03555
150,20,2,0.040864
150,20,3,0.05522
150,20,4,0.119388
150,20,5,0.460924
150,20,6,2.72627
