50,2,1,0
50,2,2,0
50,2,3,0
50,2,4,0
50,2,5,0
50,2,6,0.397904
50,6,1,0
50,6,2,0
50,6,3,0
50,6,4,0
50,6,5,0
50,6,6,1.42118
50,10,1,0
50,10,2,0
50,10,3,0
50,10,4,0
50,10,5,0
50,10,6,2.80347
50,20,1,0
50,20,2,0
50,20,3,0
50,20,4,0
50,20,5,0
50,20,6,4.95261
75,2,1,0
75,2,2,0
75,2,3,0
75,2,4,0
75,2,5,0
75,2,6,0.226682
75,6,1,0
75,6,2,0
75,6,3,0
75,6,4,0
75,6,5,0
75,6,6,1.00709
75,10,1,0
75,10,2,0
75,10,3,0
75,10,4,0
75,10,5,0
75,10,6,1.58131
75,20,1,0
75,20,2,0
75,20,3,0
75,20,4,0
75,20,5,0
75,20,6,2.62494
100,2,1,0
100,2,2,0
100,2,3,0
100,2,4,0
100,2,5,0
100,2,6,0.333218
100,6,1,0
100,6,2,0
100,6,3,0
100,6,4,0
100,6,5,0
100,6,6,0.859162
100,10,1,0
100,10,2,0
100,10,3,0
100,10,4,0
100,10,5,0
100,10,6,1.4028
100,20,1,0
100,20,2,0
100,20,3,0
100,20,4,0
100,20,5,0
100,20,6,2.78013
125,2,1,0
125,2,2,0
125,2,3,0
125,2,4,0
125,2,5,0
125,2,6,0.255518
125,6,1,0
125,6,2,0
125,6,3,0
125,6,4,0
125,6,5,0
125,6,6,0.786032
125,10,1,0
125,10,2,0
125,10,3,0
125,10,4,0
125,10,5,0
125,10,6,1.34278
125,20,1,0
125,20,2,0
125,20,3,0
125,20,4,0
125,20,5,0
125,20,6,2.53198
150,2,1,0
150,2,2,0
150,2,3,0
150,2,4,0
150,2,5,0
150,2,6,0.21948
150,6,1,0
150,6,2,0
150,6,3,0
150,6,4,0
150,6,5,0
150,6,6,0.665278
150,10,1,0
150,10,2,0
150,10,3,0
150,10,4,0
150,10,5,0
150,10,6,1.30786
150,20,1,0
150,20,2,0
150,20,3,0
150,20,4,0
150,20,5,0
150,20,6,2.72627
